# Damodaran (NYU Stern) US industry valuation multiples — vendored snapshot
# source: https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/pedata.html
# retrieved: 2026-06-14 ; refresh: 年更，重跑 vendoring（見 data/damodaran.py docstring）
industry,num_firms,trailing_pe,forward_pe,expected_growth_5y_pct,peg
Advertising,52.0,44.43,52.87,2.29,11.16
Aerospace/Defense,79.0,92.8,45.87,25.04,1.41
Air Transport,23.0,18.32,11.37,30.21,0.43
Apparel,35.0,37.83,24.89,13.63,1.99
Auto & Truck,33.0,64.32,49.04,10.22,11.71
Auto Parts,35.0,28.07,15.13,15.97,1.27
Bank (Money Center),15.0,14.95,13.04,13.74,1.03
Banks (Regional),568.0,33.6,11.0,13.96,0.9
Beverage (Alcoholic),14.0,28.3,12.84,3.89,4.26
Beverage (Soft),27.0,47.76,23.7,15.44,1.7
Broadcasting,24.0,44.76,17.5,0.87,15.52
Brokerage & Investment Banking,32.0,86.54,19.86,20.3,0.98
Building Materials,41.0,32.8,18.39,10.19,1.68
Business & Consumer Services,155.0,36.4,18.7,12.8,1.89
Cable TV,9.0,6.1,9.21,5.43,0.93
Chemical (Basic),29.0,24.42,22.82,19.81,0.93
Chemical (Diversified),4.0,nan,14.17,nan,nan
Chemical (Specialty),59.0,196.77,19.32,8.46,2.74
Coal & Related Energy,16.0,17.01,34.39,22.54,0.88
Computer Services,64.0,51.6,56.54,12.33,2.11
Computers/Peripherals,36.0,81.13,36.15,25.42,1.35
Construction Supplies,40.0,42.75,17.69,7.61,3.39
Diversified,20.0,15.73,14.88,7.57,2.22
Drugs (Biotechnology),496.0,64.28,63.76,38.08,0.84
Drugs (Pharmaceutical),228.0,55.67,24.19,17.81,1.4
Education,32.0,26.97,18.11,19.03,0.79
Electrical Equipment,112.0,80.04,29.61,18.86,2.5
Electronics (Consumer & Office),8.0,nan,19.51,-56.8,nan
Electronics (General),114.0,48.44,29.61,17.69,2.27
Engineering/Construction,48.0,63.33,28.11,21.04,1.18
Entertainment,92.0,108.63,42.73,5.75,5.64
Environmental & Waste Services,53.0,66.55,61.07,12.2,2.81
Farming/Agriculture,35.0,19.12,19.31,11.99,1.83
Financial Svcs. (Non-bank & Insurance),176.0,26.14,16.38,22.02,1.0
Food Processing,78.0,47.97,17.23,2.66,6.21
Food Wholesalers,13.0,26.8,16.64,36.93,0.67
Furn/Home Furnishings,27.0,17.38,20.34,12.28,2.05
Green & Renewable Energy,15.0,32.25,42.71,7.77,3.34
Healthcare Products,204.0,43.07,42.33,11.07,2.74
Healthcare Support Services,104.0,83.77,55.29,12.57,1.68
Heathcare Information and Technology,115.0,506.55,37.38,11.17,3.34
Homebuilding,30.0,11.45,14.35,1.97,5.72
Hospitals/Healthcare Facilities,31.0,18.8,15.65,14.98,1.04
Hotel/Gaming,63.0,46.6,29.07,13.57,1.82
Household Products,110.0,33.07,16.85,8.02,2.45
Information Services,15.0,24.92,13.22,10.12,2.33
Insurance (General),21.0,33.96,21.51,24.58,1.11
Insurance (Life),20.0,12.56,9.3,-30.45,nan
Insurance (Prop/Cas.),57.0,18.33,16.36,15.33,0.77
Investments & Asset Management,283.0,75.3,18.77,15.0,1.53
Machinery,105.0,35.76,24.06,13.55,1.97
Metals & Mining,73.0,54.12,29.82,34.42,0.86
Office Equipment & Services,14.0,18.55,10.31,14.4,1.26
